day,bed_type,zip_code,from_facility_pfi,to_facility_pfi,patients,rank
0,icu,10013,1437,1438,0.01526759186132387,1
0,icu,10030,1445,1172,0.8669399906945373,1
0,icu,10022,10139,1458,0.7175404189435971,1
0,icu,10031,1445,1464,1.6357193473955238,1
0,icu,10037,1445,1172,0.49594917480751205,1
0,icu,10038,1437,1288,0.6660230778682099,1
0,icu,11105,1639,1454,0.029311157125381015,1
0,icu,10128,1454,1456,0.6505012550920821,1
0,icu,10065,10139,1458,0.6526399745189139,1
0,icu,10280,1437,1288,0.11211553410377907,1
0,icu,10282,1437,1438,0.0834785583948714,1
0,icu,11106,1639,1458,1.0600925455230934,1
0,icu,10456,1164,1178,2.850945706567257,1
0,icu,10458,1176,1186,1.6118413487531384,1
0,icu,10459,1164,1178,0.016946381762822593,1
0,icu,10459,1164,1172,1.3654788850891217,2
0,icu,10460,1176,3058,1.6307210142024142,3
0,icu,10463,3975,1186,0.6185291114606195,1
0,icu,10468,3975,1186,2.3441269424137503,2
0,icu,11102,1639,1458,0.8451813284307529,2
0,icu,10472,3058,1165,1.9229354236922485,2
0,icu,10473,3058,1165,1.5385591717451537,1
0,icu,11103,1639,1626,0.9530132699631569,1
0,icu,11205,1288,1692,0.062425548443965084,1
0,icu,11211,1692,1318,0.18230349520549272,1
0,icu,11212,1286,1301,1.0604619085877895,1
0,icu,11217,1288,1306,0.919028286220427,1
0,icu,11221,1692,1318,2.5013763241644,1
0,icu,11230,1293,1324,1.3747151087945482,1
0,icu,11229,1293,1324,1.3896533085534837,1
0,icu,11229,1293,1294,0.7108876495265188,2
0,icu,11233,1309,1318,0.20358716999885895,2
0,icu,11234,1324,1294,1.2576074002525035,2
0,icu,11234,1324,1320,0.19401518945902252,4
0,icu,11234,1324,1301,0.6530512398877828,5
0,icu,11235,1294,1305,2.5008746370771604,3
0,icu,11236,1286,1301,2.4940682229393345,2
0,icu,11237,1318,1626,1.0680935810236636,4
0,icu,11238,1288,1306,1.2851462353409027,1
0,icu,11239,1286,1301,0.3400287751263175,1
0,icu,11355,1628,1637,1.3703879505631862,1
0,icu,11356,1628,1637,0.6455809889032762,1
0,icu,11357,1628,1637,0.839852423848998,1
0,icu,11360,1628,1637,0.33869083492179874,1
0,icu,11361,1628,1637,0.6016222266234049,1
0,icu,11362,1628,1633,0.2433533580996534,1
0,icu,11363,1628,1637,0.10988437550120424,1
0,icu,11373,1626,1638,0.23125117411465146,1
0,icu,11365,1628,1633,1.0363287613948875,1
0,icu,11369,1626,1637,1.108838522390049,2
0,icu,11370,1639,1172,0.21800374567997932,3
0,icu,11370,1639,1456,0.5998328208056392,4
0,icu,11379,1638,1629,0.059430314681162,3
0,icu,11377,1626,1458,2.40156174856541,3
0,icu,11378,1318,1463,0.8865061920893594,6
